relative_time,LinearAccelerometerSensor,AccX,AccY
104692,,,-2.584050178527832
104696,,9.972000122070312,
104697,,,-2.7660000324249268
104702,,10.573050498962402,
104703,,,-2.7559502124786377
104705,0.5263704430757247,,
104707,,11.131050109863281,
104708,,,-2.6509501934051514
104709,,,
104712,,11.560050964355469,-2.485950231552124
104716,,11.944950103759766,
104717,,,-2.464050054550171
104722,,12.180000305175781,-2.2579500675201416
104723,0.6457296616397032,,
104728,,12.3589506149292,-1.9300501346588135
104732,,12.421051025390625,
104733,,,-1.5210000276565552
104735,,,
104736,,12.271050453186035,
104737,,,-0.9919500350952148
104741,0.5936808796854959,,
104742,,11.940000534057617,-0.5460000038146973
104747,,11.538000106811523,
104748,,,-0.07005000114440918
104752,,11.023050308227539,0.5040000081062317
104756,,10.393050193786621,
104757,,,0.9400500655174255
104763,0.3970101351717419,9.903000831604004,1.311000108718872
104766,,9.32805061340332,
104767,,,1.588050127029419
104772,,8.81100082397461,
104773,,,1.6789500713348389
104775,,,
104777,,,
104778,,8.365950584411621,1.8090001344680786
104782,0.3867611524666744,7.906050205230713,1.9309500455856323
104788,,7.54395055770874,1.927950143814087
104793,,7.446000576019287,1.6960500478744507
104797,,7.507950305938721,
104798,,,1.231950044631958
104802,0.38869474334150683,7.651950359344482,0.7600500583648682
104807,,7.788000583648682,
104808,,,0.3630000054836273
104812,,7.939050197601318,
104813,,,-0.019950000569224358
104814,,,
104817,,8.145000457763672,
104818,,,-0.4510500133037567
104823,,8.392050743103027,-0.9250500202178955
104827,0.30768848380133573,,
104830,,8.72504997253418,
104831,,,-1.308000087738037
104835,,9.103050231933594,
104837,,,-1.7220001220703125
104838,,9.490950584411621,-2.0190000534057617
104846,0.26742905968463143,9.967050552368164,-2.3830502033233643
104848,,10.354950904846191,
104849,,,-2.6460001468658447
104855,,,
104859,,10.864950180053711,-2.971950054168701
104863,0.244073728933173,,
104864,,11.752950668334961,
104865,,,-3.5370001792907715
104867,,12.06195068359375,
104868,,,-3.841050148010254
104872,,12.307050704956055,
104873,,,-4.150050163269043
104877,,12.394950866699219,
104878,,,-4.465950012207031
104882,,12.32295036315918,-4.660050392150879
104883,0.2285378600168358,,
104888,,12.064950942993164,-4.807950019836426
104892,,11.79900074005127,
104893,,,-4.863000392913818
104897,,11.410950660705566,-4.8420000076293945
104900,,,
104903,,11.005950927734375,
104905,0.4510759689320225,,-4.765050411224365
104907,,10.747950553894043,
104911,,,-4.690950393676758
104913,,10.582950592041016,-4.545000076293945
104918,,10.426950454711914,-4.387050151824951
